Car_Number,Arrive,Depart,Wait,Direction
1477,20015,20044,29,E
1478,20020,20044,24,W
1480,20032,20046,14,E
1481,20034,20046,12,W
1483,20048,20048,0,W
1484,20049,20050,1,E
1486,20062,20062,0,W
1487,20066,20066,0,E
1489,20076,20076,0,W
1491,20083,20084,1,E
1492,20090,20090,0,W
1494,20100,20160,60,E
1495,20104,20160,56,W
1497,20117,20162,45,E
1498,20118,20162,44,W
1501,20134,20164,30,E
1500,20132,20164,32,W
1505,20151,20166,15,E
1504,20146,20166,20,W
1507,20168,20168,0,E
1506,20160,20168,8,W
1509,20174,20174,0,W
1511,20185,20186,1,E
1512,20188,20188,0,W
1514,20202,20202,0,E
1515,20202,20202,0,W
1517,20216,20216,0,W
1519,20219,20280,61,E
1520,20230,20280,50,W
1521,20236,20282,46,E
1523,20244,20282,38,W
1524,20253,20284,31,E
1526,20258,20284,26,W
1528,20270,20286,16,E
1529,20272,20286,14,W
1532,20287,20288,1,E
1531,20286,20288,2,W
1534,20300,20300,0,W
1535,20304,20304,0,E
1537,20314,20314,0,W
1538,20321,20322,1,E
1540,20328,20328,0,W
1542,20338,20338,0,E
1545,20355,20400,45,E
1543,20342,20400,58,W
1549,20372,20402,30,E
1546,20356,20402,46,W
1552,20389,20404,15,E
1548,20370,20404,34,W
1556,20406,20406,0,E
1551,20384,20406,22,W
1554,20398,20408,10,W
1557,20412,20412,0,W
1559,20423,20424,1,E
1560,20426,20426,0,W
1562,20440,20440,0,E
1563,20440,20440,0,W
1565,20454,20454,0,W
1566,20457,20458,1,E
1570,20474,20520,46,E
1568,20468,20520,52,W
1573,20491,20522,31,E
1571,20482,20522,40,W
1576,20508,20524,16,E
1574,20496,20524,28,W
1580,20525,20526,1,E
1577,20510,20526,16,W
1579,20524,20528,4,W
1582,20538,20538,0,W
1584,20542,20542,0,E
1585,20552,20552,0,W
1586,20559,20560,1,E
1588,20566,20566,0,W
1589,20576,20576,0,E
1593,20593,20640,47,E
1591,20580,20640,60,W
1597,20610,20642,32,E
1594,20594,20642,48,W
1600,20627,20644,17,E
1596,20608,20644,36,W
1603,20644,20646,2,E
1599,20622,20646,24,W
1602,20636,20648,12,W
1605,20650,20650,0,W
1607,20661,20662,1,E
1608,20664,20664,0,W
1610,20678,20678,0,E
1611,20678,20678,0,W
1613,20692,20692,0,W
1614,20695,20696,1,E
1617,20712,20760,48,E
1616,20706,20760,54,W
1621,20729,20762,33,E
1618,20720,20762,42,W
1624,20746,20764,18,E
1622,20734,20764,30,W
1628,20763,20766,3,E
1625,20748,20766,18,W
1627,20762,20768,6,W
1630,20776,20776,0,W
1631,20780,20780,0,E
1633,20790,20790,0,W
1635,20797,20798,1,E
1636,20804,20804,0,W
1638,20814,20814,0,E
1639,20818,20818,0,W
1641,20831,20880,49,E
1642,20832,20880,48,W
1645,20848,20882,34,E
1644,20846,20882,36,W
1648,20865,20884,19,E
1647,20860,20884,24,W
1652,20882,20886,4,E
1650,20874,20886,12,W
1653,20888,20888,0,W
1654,20899,20900,1,E
1656,20902,20902,0,W
1658,20916,20916,0,E
1659,20916,20916,0,W
1661,20930,20930,0,W
1662,20933,20934,1,E
1665,20950,21000,50,E
1664,20944,21000,56,W
1668,20967,21002,35,E
1667,20958,21002,44,W
1672,20984,21004,20,E
1669,20972,21004,32,W
1676,21001,21006,5,E
1673,20986,21006,20,W
1675,21000,21008,8,W
1678,21014,21014,0,W
1679,21018,21018,0,E
1681,21028,21028,0,W
1682,21035,21036,1,E
1683,21042,21042,0,W
1686,21052,21052,0,E
1687,21056,21056,0,W
1689,21069,21120,51,E
1690,21070,21120,50,W
1693,21086,21122,36,E
1692,21084,21122,38,W
1696,21103,21124,21,E
1695,21098,21124,26,W
1700,21120,21126,6,E
1698,21112,21126,14,W
1701,21126,21128,2,W
1703,21137,21138,1,E
1704,21140,21140,0,W
1706,21154,21154,0,E
1707,21154,21154,0,W
1709,21168,21168,0,W
1710,21171,21172,1,E
1713,21188,21240,52,E
1712,21182,21240,58,W
1717,21205,21242,37,E
1715,21196,21242,46,W
1719,21222,21244,22,E
1718,21210,21244,34,W
1724,21239,21246,7,E
1720,21224,21246,22,W
1723,21238,21248,10,W
1726,21252,21252,0,W
1727,21256,21256,0,E
1729,21266,21266,0,W
1731,21273,21274,1,E
1732,21280,21280,0,W
1733,21290,21290,0,E
